Epoch,Target Cost,Squared Loss,Cross Entropy Loss
1,13791,0.41338,2.49165
2,13773.8,0.412722,2.48829
3,13747.4,0.407516,2.48791
4,13687,0.404321,2.48038
5,13651.7,0.397557,2.47521
6,13556.5,0.390071,2.46688
7,13496,0.377049,2.46514
8,13398,0.363692,2.4567
9,13310.1,0.347861,2.45576
10,13176.8,0.335872,2.44185
11,13070.4,0.324497,2.42608
12,13010.3,0.31011,2.43244
13,12924.5,0.295323,2.42226
14,12811.7,0.280559,2.41998
15,12668.1,0.25989,2.40821
16,12554.5,0.242172,2.40736
17,12502.2,0.22581,2.40442
18,12364.2,0.211771,2.38699
19,12203.1,0.19523,2.37741
20,12151.2,0.182719,2.37744
21,11988.9,0.167755,2.37089
22,11981,0.16152,2.3591
23,11773.1,0.140122,2.33651
24,11663.4,0.135281,2.32119
25,11620.1,0.11629,2.33049
26,11551.6,0.114056,2.31144
27,11356.8,0.107994,2.28666
28,11221.4,0.102295,2.27316
29,11060.8,0.0934451,2.24403
30,11101.3,0.0876181,2.24785
31,10786,0.0839645,2.20073
32,10874.9,0.0813288,2.21666
33,10769,0.0788204,2.19394
34,10705.3,0.074873,2.17662
35,10592.2,0.067214,2.15802
36,10634.2,0.0733244,2.1586
37,10322.7,0.0675932,2.11332
38,10287.8,0.0671071,2.11044
39,10186.2,0.0680682,2.07386
40,10182.7,0.064957,2.08071
41,9988,0.0618969,2.05471
42,10093.2,0.0668217,2.05698
43,10019.6,0.0630456,2.03397
44,9900.3,0.0662054,2.01767
45,9637.1,0.0579592,1.98221
46,9633.37,0.0615675,1.97723
47,9641.86,0.0634306,1.9609
48,9381.12,0.062363,1.93541
49,9383.72,0.0580057,1.91194
50,9177.38,0.0587513,1.87945
51,9144.22,0.0563423,1.87768
52,9128.71,0.0593337,1.85855
53,9175.52,0.0591117,1.86832
54,9122.41,0.0618821,1.86709
55,8972.54,0.0566951,1.82743
56,8915.48,0.0581138,1.81932
57,8774.49,0.0540553,1.79631
58,8802.08,0.0542257,1.79531
59,8711.32,0.0546706,1.76984
60,8666.26,0.056489,1.78047
61,8486.85,0.0543635,1.74732
62,8379.57,0.0584035,1.71565
63,8549.92,0.0527875,1.75449
64,8365.5,0.0481549,1.72877
65,8169.6,0.049754,1.67745
66,8252.04,0.0478637,1.71169
67,8274.35,0.0511338,1.71042
68,8292.71,0.0516148,1.70043
69,8002.79,0.0489985,1.66347
70,8114.13,0.0503926,1.65829
71,7994.64,0.0558616,1.63732
72,8130.81,0.0477306,1.66062
73,7908.71,0.0505008,1.62726
74,7833.7,0.0488694,1.60623
75,7664.24,0.0531076,1.56891
76,7878.83,0.0504622,1.61102
77,7815.44,0.0500371,1.60195
78,7553.9,0.0518202,1.54653
79,7720.76,0.0526106,1.58413
80,7490.51,0.0510061,1.53844
81,7597.57,0.0483275,1.55222
82,7361.62,0.0482209,1.51572
83,7584.14,0.0508158,1.53255
84,7335.95,0.0492765,1.51385
85,7354.19,0.0487614,1.50908
86,7289.99,0.0460604,1.48283
87,7242.16,0.0453242,1.47388
88,7115.79,0.0463216,1.46392
89,7253.54,0.0492573,1.48229
90,7223.8,0.0472752,1.46927
91,7054.6,0.0515278,1.44802
92,7002.92,0.0505884,1.42052
93,7109.77,0.0508765,1.45265
94,6886.54,0.0489564,1.40347
95,7043.89,0.0481899,1.4277
96,6780.9,0.0495437,1.39089
97,6841.85,0.0510829,1.40441
98,6784.99,0.0499948,1.39235
99,6777.6,0.0474084,1.36701
100,6666.41,0.0507496,1.35508
101,6812.03,0.0460917,1.36761
102,6661.35,0.0459523,1.35332
103,6550.15,0.0472853,1.32589
104,6415.67,0.0513033,1.31226
105,6897.85,0.0479511,1.39236
106,6309.77,0.0484476,1.30586
107,6480.53,0.0526693,1.31285
108,6257.11,0.046499,1.27963
109,6389.28,0.0482759,1.31
110,6182.5,0.0494097,1.24687
111,6334.93,0.0472697,1.30116
112,6312.87,0.0515976,1.27872
113,6344.98,0.0512564,1.28739
114,6038.3,0.0513836,1.21965
115,6080.99,0.0460869,1.24189
116,6023.86,0.0465156,1.24008
117,6152.71,0.0509232,1.2557
118,5960.14,0.0508556,1.19796
119,6252.06,0.0478267,1.25814
120,5821.46,0.0481217,1.18368
121,5895.42,0.0471057,1.19622
122,5986.52,0.048876,1.20853
123,5768.34,0.049415,1.17852
124,5840.24,0.0481705,1.18462
125,5613.98,0.0495456,1.14962
126,5691.22,0.049948,1.15112
127,5787.43,0.0447087,1.18207
128,5639.73,0.0430913,1.1544
129,5626.98,0.0464728,1.14683
130,5679.24,0.0486934,1.15208
131,5658.27,0.0513867,1.14424
132,5524.92,0.0475431,1.13136
133,5831.91,0.0467055,1.18039
134,5532.5,0.0489858,1.10642
135,5638.59,0.0508409,1.11422
136,5424.13,0.048983,1.07908
137,5600.24,0.0497545,1.12972
138,5487.97,0.0504531,1.1026
139,5538.71,0.0497888,1.10927
140,5353.57,0.0504558,1.07827
141,5454.55,0.0449031,1.08927
142,5262.47,0.0481583,1.05872
143,5188.72,0.047465,1.04716
144,5241.38,0.0495326,1.03753
145,5300.9,0.0515585,1.07956
146,5183.58,0.0490254,1.05079
147,5262.82,0.0480981,1.07097
148,5397.01,0.0486675,1.0872
149,5197.38,0.0517957,1.02933
150,5091.38,0.0484549,1.03411
151,5178.08,0.0489703,1.03609
152,4979.71,0.0461393,1.02532
153,5192.64,0.0452392,1.05411
154,5098.49,0.0492393,1.01667
155,5035.81,0.04665,1.02942
156,4980.9,0.0495383,0.993737
157,5219.35,0.047684,1.04985
158,5043.57,0.04843,1.00471
159,4980.27,0.0498631,1.01343
160,4777.31,0.0443237,0.970284
161,5128.73,0.0489157,1.04116
162,4882.28,0.0484383,0.992708
163,4951.66,0.0458379,0.997943
164,4917.18,0.0506989,0.983605
165,4963.16,0.0490232,1.00639
166,4738.62,0.0494811,0.961523
167,4827.81,0.0468851,0.978076
168,4943.35,0.0475724,0.982345
169,4879.47,0.0518478,0.990698
170,4891.25,0.0497024,0.952169
171,4877.46,0.0484387,0.98039
172,4687.04,0.0502384,0.929371
173,4773.99,0.0518198,0.961902
174,4683.05,0.0519832,0.937854
175,4714.95,0.0469083,0.951599
176,4570.16,0.0499152,0.917801
177,4826.82,0.0474139,0.967607
178,4447.67,0.0450115,0.913425
179,4630.2,0.0471641,0.935659
180,4562.37,0.0537279,0.907026
181,4791.19,0.0500438,0.950824
182,4590.24,0.0472148,0.920969
183,4597.79,0.0471431,0.920085
184,4583.43,0.0486267,0.905544
185,4533.72,0.0519528,0.918199
186,4317.53,0.0480948,0.86292
187,4617.94,0.0481352,0.915774
188,4398.53,0.0473532,0.880571
189,4597.8,0.051361,0.911372
190,4456.41,0.0499692,0.880282
191,4700.36,0.0502259,0.925124
192,4442.58,0.0533433,0.876271
193,4531.26,0.0480402,0.902304
194,4438.19,0.0449898,0.875337
195,4532.33,0.0463121,0.904993
196,4381.73,0.051628,0.8751
197,4380.41,0.0499091,0.876557
198,4336.14,0.0477464,0.883008
199,4456.88,0.0465854,0.873407
200,4289.03,0.046542,0.858438
201,4480.14,0.0495801,0.886811
202,4182.16,0.0495701,0.834471
203,4296.57,0.0461194,0.876761
204,4123.74,0.0496335,0.828611
205,4494.11,0.0509134,0.884881
206,4154.14,0.0448659,0.848
207,4534.81,0.0453413,0.907052
208,4337.72,0.0495027,0.863427
209,4250.29,0.0455814,0.852872
210,4246.8,0.0472186,0.855971
211,4373.02,0.0521742,0.891179
212,4142.36,0.0486452,0.825257
213,4149.65,0.045301,0.835609
214,4054.94,0.0476005,0.821464
215,4201.02,0.0472518,0.848183
216,4054.18,0.0472559,0.813996
217,4238.56,0.0494854,0.843823
218,3873.63,0.0476269,0.773999
219,4365.2,0.0492815,0.863189
220,4059.99,0.0459414,0.804929
221,4096.13,0.0495342,0.822132
222,4050.31,0.0474238,0.806245
223,4227.88,0.052453,0.842765
224,4020.5,0.0491386,0.807051
225,4124.39,0.0477341,0.831918
226,4118.96,0.0477281,0.826071
227,4193.16,0.0486175,0.840786
228,4063.08,0.0461411,0.80954
229,4255.22,0.0487515,0.851796
230,3994.91,0.045946,0.798351
231,4102.57,0.0505169,0.814408
232,3985.41,0.0464045,0.803754
233,4208.04,0.0490229,0.839472
234,3849.9,0.0461244,0.780189
235,4125.31,0.0484268,0.823486
236,3999.63,0.0449671,0.799762
237,4126.53,0.0467063,0.813893
238,3923.7,0.046873,0.776573
239,4114.87,0.0449755,0.815531
240,3958.56,0.0501431,0.797534
241,3883.62,0.0478503,0.775331
242,3974.1,0.0521018,0.793681
243,3890.65,0.0481071,0.766676
244,3877.7,0.047526,0.784262
245,3994.72,0.0462431,0.7835
246,3941.11,0.0484153,0.779012
247,3915.12,0.0458622,0.772843
248,3949.7,0.0523864,0.779186
249,3853.98,0.0506018,0.769288
250,3999.88,0.0464269,0.783952
251,3879.97,0.0503243,0.748883
252,4003.86,0.051359,0.785461
253,3899.06,0.0500392,0.771039
254,3968.67,0.0530395,0.782783
255,3820.96,0.0496517,0.734634
256,3958.6,0.048753,0.788865
257,3819.25,0.0490675,0.754488
258,4001.81,0.0475889,0.788057
259,3787.25,0.0474787,0.751093
260,4049.6,0.0441208,0.799846
261,3817.72,0.0455279,0.766063
262,3846.82,0.0488775,0.769724
263,3736.7,0.0511434,0.739191
264,3846.5,0.0442919,0.766563
265,3803.35,0.044539,0.764812
266,3949.35,0.0477576,0.774798
267,3792.29,0.0464186,0.749184
268,3818.01,0.0442244,0.762922
269,3604.1,0.0475155,0.73599
270,3891.18,0.0476211,0.782509
271,3756.27,0.0474604,0.751863
272,3796.03,0.0480583,0.751073
273,3790.36,0.0466164,0.765346
274,3648.32,0.0484794,0.730077
275,3788.11,0.0454126,0.746004
276,3691.63,0.0446276,0.739762
277,3663.25,0.0444567,0.710608
278,3708.25,0.0484235,0.738046
279,3451.18,0.0488578,0.691791
280,3798.06,0.0507904,0.772722
281,3739.87,0.0474441,0.730042
282,3726.25,0.0487352,0.733919
283,3549.54,0.0464429,0.698478
284,3765.51,0.0472665,0.75499
285,3782.09,0.0472273,0.732997
286,3847.03,0.0495541,0.747231
287,3712.92,0.0490281,0.723065
288,3747.5,0.0506227,0.736471
289,3530.96,0.0505996,0.699615
290,3679.1,0.0486383,0.739334
291,3554.91,0.0466967,0.703344
292,3700.14,0.0459019,0.73823
293,3606.76,0.0489967,0.716979
294,3616.58,0.0474712,0.711527
295,3717.12,0.0455749,0.714133
296,3853.15,0.046891,0.760877
297,3664.56,0.0448955,0.721562
298,3742.3,0.0465574,0.735551
299,3513.89,0.0491887,0.706012
300,3474.21,0.0453784,0.712062
301,3621.27,0.049593,0.712236
302,3714.82,0.0464134,0.741601
303,3621.82,0.0451556,0.725665
304,3772.93,0.0452839,0.736864
305,3835.75,0.0493976,0.746106
306,3641.36,0.0481546,0.711505
307,3686.54,0.0452019,0.736533
308,3686.63,0.0482383,0.734201
309,3546.46,0.0473287,0.702216
310,3490.6,0.0491352,0.691365
311,3652.16,0.0465606,0.722255
312,3590.21,0.0500493,0.716047
313,3578.44,0.0456332,0.712183
314,3653.7,0.047542,0.729513
315,3540.41,0.0469568,0.702414
316,3510.04,0.0492785,0.698104
317,3556.8,0.048216,0.68545
318,3548.5,0.0495457,0.695081
319,3560.58,0.0467034,0.705415
320,3582,0.0449619,0.715302
321,3572.1,0.044284,0.703949
322,3608.44,0.0484363,0.696109
323,3493.18,0.0448814,0.692287
324,3673.66,0.0483757,0.726157
325,3494.47,0.0448418,0.693261
326,3638.31,0.0457513,0.715999
327,3571.82,0.0443388,0.713323
328,3760.27,0.0475322,0.737073
329,3596.35,0.0437148,0.718316
330,3432.56,0.0461598,0.68206
331,3496.24,0.0476515,0.698898
332,3533.3,0.046149,0.710586
333,3663.43,0.0470678,0.719573
334,3616.92,0.0499551,0.716929
335,3556.82,0.0485076,0.693039
336,3555.14,0.0479623,0.702674
337,3634.91,0.0488415,0.698011
338,3617.07,0.0472025,0.712174
339,3575.9,0.0468561,0.700984
340,3713.03,0.045508,0.717362
341,3431.33,0.0456565,0.670094
342,3669.97,0.0486914,0.70814
343,3538.06,0.0477586,0.710258
344,3660.81,0.0511302,0.723648
345,3518.63,0.0478578,0.69275
346,3616.96,0.0461783,0.705576
347,3716.32,0.0478481,0.739384
348,3489.04,0.047463,0.701873
349,3450.37,0.0460783,0.683254
350,3802.11,0.0493505,0.756974
351,3539.9,0.0478962,0.696042
352,3613.94,0.047367,0.710122
353,3664.73,0.0545597,0.704297
354,3625.34,0.0455839,0.697797
355,3445.9,0.0485755,0.689264
356,3507.27,0.0458971,0.703851
357,3469.11,0.0454758,0.697889
358,3612.44,0.0476625,0.719383
359,3517.14,0.0429776,0.679759
360,3601.14,0.0478325,0.697055
361,3462.17,0.0444496,0.682465
362,3605.06,0.0442019,0.719262
363,3561.62,0.045796,0.717123
364,3528.68,0.0454507,0.705411
365,3446.45,0.0468038,0.695549
366,3586.73,0.0466343,0.718903
367,3619.15,0.0445584,0.70122
368,3634.73,0.0499736,0.72708
369,3362.6,0.0477,0.664464
370,3724.54,0.0493833,0.750662
371,3389.49,0.0439879,0.678934
372,3625.9,0.0491317,0.697519
373,3509.08,0.0475219,0.701536
374,3609.59,0.0480611,0.716754
375,3569.7,0.0466511,0.709739
376,3708.44,0.047952,0.740697
377,3460.95,0.0445154,0.694721
378,3572.1,0.0501106,0.69346
379,3625.31,0.0440401,0.719344
380,3474.87,0.0446441,0.688575
381,3666.45,0.0485024,0.703083
382,3572.27,0.0499805,0.68408
383,3553.32,0.0464883,0.706294
384,3572.9,0.0490655,0.69065
385,3488.45,0.0440477,0.679999
386,3665.3,0.050813,0.7267
387,3548.49,0.0477915,0.700372
388,3536.86,0.047302,0.707912
389,3479.33,0.0469836,0.677443
390,3695.1,0.0473401,0.726459
391,3436.82,0.0454641,0.673841
392,3572.2,0.0445105,0.70558
393,3412.89,0.0456892,0.676528
394,3573.17,0.049007,0.7118
395,3612.48,0.0446733,0.700663
396,3637.93,0.0504398,0.733771
397,3517.62,0.0491392,0.694619
398,3642.07,0.0455976,0.723533
399,3523.06,0.0480586,0.701743
400,3255.45,0.0494579,0.653122
401,3387.3,0.0445473,0.679318
402,3572.32,0.0484501,0.699476
403,3364.78,0.0476536,0.686387
404,3521.54,0.045671,0.708103
405,3505.32,0.0470746,0.699216
406,3475.24,0.0484988,0.698393
407,3427.83,0.0484067,0.688285
408,3583.48,0.0464525,0.711364
409,3472.92,0.0471588,0.682987
